sensor_id,measurement_title,punto_1,punto_2,punto_3,punto_4,punto_5,punto_6,punto_7,punto_8,punto_9,punto_10,punto_11,punto_12,punto_13,punto_14,punto_15,punto_16,punto_17,punto_18,punto_19,punto_20,punto_21,punto_22,punto_23,punto_24,punto_25,punto_26,punto_27,punto_28,punto_29,punto_30,punto_31,punto_32,punto_33,punto_34,punto_35,punto_36,punto_37,punto_38,punto_39,punto_40,punto_41,punto_42,punto_43,punto_44,punto_45,punto_46,punto_47,punto_48,punto_49,punto_50,punto_51,punto_52,punto_53,punto_54,punto_55,punto_56,punto_57,punto_58,punto_59,punto_60,punto_61,punto_62,punto_63,punto_64,punto_65,punto_66,punto_67,punto_68,punto_69,punto_70,punto_71,punto_72,punto_73,punto_74,punto_75,punto_76,punto_77,punto_78,punto_79,punto_80,punto_81,punto_82,punto_83,punto_84,punto_85,punto_86,punto_87,punto_88,punto_89,punto_90,punto_91,punto_92,punto_93,punto_94,punto_95,punto_96,punto_97,punto_98,punto_99,punto_100,punto_101,punto_102,punto_103,punto_104,punto_105,punto_106,punto_107,punto_108,punto_109,punto_110,punto_111,punto_112,punto_113,punto_114,punto_115,punto_116,punto_117,punto_118,punto_119,punto_120,punto_121,punto_122,punto_123,punto_124,punto_125,punto_126,punto_127,punto_128,punto_129,punto_130,punto_131,punto_132,punto_133,punto_134,punto_135,punto_136,punto_137,punto_138,punto_139,punto_140,punto_141,punto_142,punto_143,punto_144,punto_145,punto_146,punto_147,punto_148,punto_149,punto_150,punto_151,punto_152,punto_153,punto_154,punto_155,punto_156,punto_157,punto_158,punto_159,punto_160,punto_161,punto_162,punto_163,punto_164,punto_165,punto_166,punto_167,punto_168,punto_169,punto_170,punto_171,punto_172,punto_173,punto_174,punto_175,punto_176,punto_177,punto_178,punto_179,punto_180,punto_181,punto_182,punto_183,punto_184,punto_185,punto_186,punto_187,punto_188,punto_189,punto_190,punto_191,punto_192,Cd_pct,Zn_pct,Cu_pct,Cr_pct,Ni_pct,ppm_modelo,contamination_level_pct,clasificacion,model_version,model_used_n_features,model_used_baseline,model_baseline_source,model_notes
,Cyclic Voltammetry_M46,-85.1232,-60.7791,-46.1163,-36.0787,-28.7786,-23.2597,-18.9097,-15.4346,-12.5596,-10.1658,-8.11576,-6.35322,-4.77819,-3.37818,-2.09692,-0.88439,0.271869,1.40314,2.53441,3.62194,4.62821,5.66571,6.90949,8.55951,10.8095,13.7783,17.4659,21.191,22.9222,21.0409,19.6847,19.7284,20.3784,21.141,21.9472,23.341,24.7816,25.184,26.2223,26.391,26.916,27.6973,28.6723,29.6786,30.6286,31.5349,32.4161,33.2974,34.1099,34.8349,35.5537,36.4099,37.5474,38.8537,40.0412,40.8537,41.0225,40.6412,40.2412,39.9912,39.8662,39.8037,39.7912,39.7787,39.8037,39.9037,40.0725,40.3225,40.6412,41.0288,41.4725,41.9413,42.46,43.035,43.685,44.3788,45.1788,46.0476,47.0038,48.0476,49.1976,50.4789,51.9039,53.4977,55.3352,57.4102,59.8478,62.7228,66.2041,70.4917,75.848,82.4856,90.8545,101.273,114.03,129.386,147.468,110.93,83.1106,61.6478,45.2726,32.8849,23.6222,16.6409,11.3595,7.32822,4.17819,1.69065,-0.334382,-2.01566,-3.43442,-4.6782,-5.77822,-6.75948,-7.67825,-8.52201,-9.30952,-10.0345,-10.672,-11.2908,-11.8471,-12.3721,-12.8721,-13.3408,-13.7783,-14.1846,-14.5846,-14.9909,-15.4034,-15.8346,-16.2909,-16.7846,-17.3159,-17.9096,-18.5659,-19.2972,-20.1222,-21.0972,-22.2535,-23.6535,-25.2098,-26.766,-28.1848,-29.5598,-31.0474,-32.7786,-34.6599,-36.5787,-38.4162,-40.0787,-41.5725,-42.9038,-44.0788,-45.1226,-46.0851,-47.0788,-48.0976,-49.1789,-50.3101,-51.3727,-52.1664,-53.1352,-54.2477,-55.3415,-56.1415,-56.6352,-56.904,-57.0102,-57.1165,-57.2415,-57.4478,-57.6915,-57.9665,-58.329,-58.729,-59.4665,-61.4416,-64.3791,-66.2229,-67.2354,-67.7417,-68.2167,-68.7854,-69.5979,-70.548,-71.673,-72.9292,-74.3605,-75.973,-77.8043,-79.8793,-82.2856,147467.99999999997,4915.599999999999,14746.8,29493.6,29493.6,1.0793343948729592,147467.99999999997,⚠️ CONTAMINACIÓN SEVERA,,,False,,
,Cyclic Voltammetry,-51.8414,-37.535,-29.5536,-24.2285,-20.3347,-17.3159,-14.8721,-12.8471,-11.1283,-9.67828,-8.42201,-7.35323,-6.39697,-5.57821,-4.83445,-4.15318,-3.50318,-2.88441,-2.25315,-1.63441,-1.05939,-0.515628,0.165629,1.18439,2.64692,4.70943,7.39698,10.0658,10.372,7.20325,5.56571,5.49071,5.75945,6.00946,6.20947,6.39071,6.57823,6.75948,6.95324,7.24699,7.5845,7.9845,8.45325,8.90951,9.32202,9.76577,10.2095,10.6533,11.0283,11.3533,11.7158,12.2346,12.9033,13.6846,14.3658,14.8221,14.9784,14.9346,14.8783,14.8721,14.9221,15.0284,15.1096,15.1534,15.1909,15.2346,15.3471,15.5471,15.8409,16.1909,16.5784,16.9784,17.3909,17.7846,18.1909,18.5847,19.0159,19.4847,20.0159,20.6159,21.2909,22.0785,23.0035,24.0535,25.2598,26.6285,28.2536,30.1723,32.5286,35.4912,39.26,44.0726,50.3602,58.5728,69.7229,83.5544,101.336,65.2291,43.81,30.2286,21.3909,15.4783,11.3971,8.49075,6.38447,4.78444,3.52817,2.51567,1.69065,0.984383,0.359368,-0.190639,-0.678134,-1.16565,-1.61564,-2.0344,-2.44691,-2.82192,-3.17192,-3.48444,-3.79069,-4.0782,-4.3282,-4.57194,-4.78444,-4.9782,-5.18446,-5.37821,-5.58447,-5.80946,-6.05322,-6.34698,-6.67198,-6.99073,-7.27824,-7.572,-7.87824,-8.2595,-8.73451,-9.34078,-10.0345,-10.772,-11.5158,-12.2783,-13.0721,-13.9033,-14.7284,-15.5346,-16.2721,-16.9159,-17.4409,-17.8659,-18.2034,-18.4784,-18.6909,-18.8597,-19.0409,-19.2847,-19.5222,-19.8534,-20.3159,-20.8784,-21.4722,-22.016,-22.4722,-22.8285,-23.1472,-23.4097,-23.6285,-23.8472,-24.0722,-24.3222,-24.5785,-24.8785,-25.2223,-25.6723,-26.491,-27.8786,-29.2161,-30.2411,-31.1349,-32.1599,-33.3286,-34.6787,-36.1474,-37.7349,-39.36,-41.0287,-42.735,-44.4913,-46.3413,-48.3726,101335.99999999999,3377.866666666667,10133.6,20267.2,20267.2,0.9720413465567181,101335.99999999999,⚠️ CONTAMINACIÓN SEVERA,,,False,,
